algorithm,coverage,cost_per_coverage,radius,time
k=1,100,0.96,11,31
k=2,100,0.94,11,1473
greedy,100,1.19,11,3
random,100,4.79,11,0
bad_greedy,100,4.79,11,1
k=1,100,1.15,11,31
k=2,100,1.12,11,1525
greedy,100,0.86,11,3
random,100,4.58,11,0
bad_greedy,100,4.58,11,1
k=1,100,0.85,11,26
k=2,100,0.85,11,1279
greedy,100,0.46,17,3
random,100,4.38,17,0
bad_greedy,100,4.38,17,1
k=1,100,0.44,17,21
k=2,100,0.42,17,946
greedy,100,0.58,17,3
random,100,4.99,17,0
bad_greedy,100,4.99,17,1
k=1,100,0.56,17,19
k=2,100,0.54,17,863
greedy,100,0.39,17,4
random,100,4.6,17,0
bad_greedy,100,4.6,17,1
k=1,100,0.39,17,18
k=2,100,0.39,17,819
greedy,100,0.5,17,3
random,100,4.37,17,0
bad_greedy,100,4.37,17,1
k=1,100,0.48,17,21
k=2,100,0.46,17,922
greedy,100,0.44,17,3
random,100,4.37,17,0
bad_greedy,100,4.37,17,1
k=1,100,0.42,17,18
k=2,100,0.4,17,826
greedy,100,0.53,17,3
random,100,4.97,17,0
bad_greedy,100,4.97,17,1
k=1,100,0.49,17,19
k=2,100,0.46,17,838
greedy,100,0.55,17,3
random,100,4.64,17,0
bad_greedy,100,4.64,17,1
k=1,100,0.51,17,19
k=2,100,0.49,17,882
greedy,100,0.47,17,3
random,100,4.44,17,0
bad_greedy,100,4.44,17,1
k=1,100,0.45,17,18
k=2,100,0.44,17,842
greedy,100,0.34,17,3
random,100,4.45,17,0
bad_greedy,100,4.45,17,1
k=1,100,0.33,17,17
k=2,100,0.32,17,763
greedy,100,0.43,17,3
random,100,4.2,17,0
bad_greedy,100,4.2,17,1
k=1,100,0.35,17,19
k=2,100,0.33,17,870
greedy,100,0.91,12,3
random,100,4.75,12,0
bad_greedy,100,4.75,12,2
k=1,100,0.87,12,29
k=2,100,0.85,12,1229
greedy,100,1.17,12,3
random,100,4.75,12,0
bad_greedy,100,4.75,12,1
k=1,100,1.14,12,31
k=2,100,1.11,12,1479
greedy,100,0.91,12,3
random,100,4.44,12,0
bad_greedy,100,4.44,12,1
k=1,100,0.89,12,30
k=2,100,0.87,12,1380
greedy,100,0.8,12,3
random,100,4.46,12,0
bad_greedy,100,4.46,12,1
k=1,100,0.78,12,27
k=2,100,0.77,12,1311
greedy,100,1.1,12,3
random,100,4.99,12,0
bad_greedy,100,4.99,12,1
k=1,100,1.06,12,29
k=2,100,1.03,12,1311
greedy,100,0.74,12,3
random,100,4.39,12,0
bad_greedy,100,4.39,12,1
k=1,100,0.71,12,25
k=2,100,0.71,12,1204
greedy,100,0.96,12,4
random,100,4.56,12,0
bad_greedy,100,4.56,12,1
k=1,100,0.92,12,28
k=2,100,0.92,12,1217
greedy,100,0.91,12,3
random,100,4.37,12,0
bad_greedy,100,4.37,12,1
k=1,100,0.89,12,31
k=2,100,0.88,12,1396
greedy,100,0.94,12,3
random,100,4.16,12,0
bad_greedy,100,4.16,12,1
k=1,100,0.88,12,30
k=2,100,0.85,12,1441
greedy,100,0.92,12,3
random,100,4.36,12,0
bad_greedy,100,4.36,12,1
k=1,100,0.85,12,28
k=2,100,0.84,12,1323
greedy,100,0.41,18,4
random,100,4.73,18,0
bad_greedy,100,4.73,18,2
k=1,100,0.38,18,30
k=2,100,0.37,18,1288
greedy,100,0.46,18,4
random,100,4.62,18,0
bad_greedy,100,4.62,18,2
k=1,100,0.45,18,26
k=2,100,0.44,18,1355
greedy,100,0.5,18,4
random,100,4.78,18,0
bad_greedy,100,4.78,18,2
k=1,100,0.42,18,34
k=2,100,0.41,18,1362
greedy,100,0.31,18,3
random,100,4.12,18,0
bad_greedy,100,4.12,18,2
k=1,100,0.3,18,30
k=2,100,0.29,18,1158
greedy,100,0.38,18,4
random,100,4.18,18,0
bad_greedy,100,4.18,18,2
k=1,100,0.36,18,33
k=2,100,0.34,18,1289
greedy,100,0.43,18,3
random,100,4.57,18,0
bad_greedy,100,4.57,18,1
k=1,100,0.38,18,18
k=2,100,0.37,18,942
greedy,100,0.53,18,3
random,100,4.71,18,0
bad_greedy,100,4.71,18,1
k=1,100,0.44,18,18
k=2,100,0.42,18,816
greedy,100,0.39,18,3
random,100,4.32,18,0
bad_greedy,100,4.32,18,1
k=1,100,0.37,18,17
k=2,100,0.35,18,782
greedy,100,0.39,18,3
random,100,4.13,18,0
