algorithm,budget,coverage,cost_per_coverage,time
bad_greedy,1200,32,36.625,1
k=1,1200,48,24.3125,64
k=2,1200,48,24.3125,3199
greedy,1200,52,22.3654,3
random,1200,22,53,0
bad_greedy,1200,25,45.48,1
k=1,1200,53,21.8868,60
k=2,1200,54,22.0926,3229
greedy,1200,60,19.6,3
random,1200,37,32.1081,0
bad_greedy,1200,43,26.6512,1
k=1,1200,61,19.3934,55
k=2,1200,62,19.2581,2752
greedy,1200,49,23.9184,3
random,1200,18,65.0556,0
bad_greedy,1200,31,37.5806,1
k=1,1200,49,23.9184,63
k=2,1200,49,23.9184,2626
greedy,1200,46,25.2826,3
random,1200,17,70,0
bad_greedy,1200,33,36.1818,1
k=1,1200,47,25.2128,56
k=2,1200,47,25.2128,2712
greedy,1200,58,20.4138,3
random,1200,31,38.5484,0
bad_greedy,1200,46,24.8043,1
k=1,1200,58,20.3793,54
k=2,1200,58,20.3793,2651
greedy,1200,54,21.9259,3
random,1200,30,39.2667,0
bad_greedy,1200,36,31.6944,1
k=1,1200,54,21.9259,55
k=2,1200,54,21.9259,2697
greedy,1200,62,19.0968,4
random,1200,23,51.6522,0
bad_greedy,1200,37,30.973,1
k=1,1200,62,19.0968,55
k=2,1200,62,19.0968,2494
greedy,1200,54,21.9815,3
random,1200,22,54.3182,0
bad_greedy,1200,36,32.0278,1
k=1,1200,54,21.7037,54
k=2,1200,54,21.7037,2552
greedy,1200,59,19.7288,3
random,1200,34,34.5,0
bad_greedy,1200,39,30.0256,1
k=1,1200,60,19.5,51
k=2,1200,60,19.5,2434
greedy,1200,65,17.7846,3
random,1200,30,39.9667,0
bad_greedy,1200,35,32.6571,2
k=1,1200,66,17.7576,50
k=2,1200,66,17.7576,2416
greedy,1200,59,20.0339,4
random,1200,27,43.4074,0
bad_greedy,1200,40,29.675,1
k=1,1200,59,20.0339,51
k=2,1200,59,20.0339,2488
greedy,1200,58,20.6897,3
random,1200,25,46.44,0
bad_greedy,1200,33,35.6364,1
k=1,1200,59,20.2712,56
k=2,1200,59,20.2712,2514
greedy,1200,50,23.18,3
random,1200,26,45.2308,0
bad_greedy,1200,29,40.3103,1
k=1,1200,51,23.3922,62
k=2,1200,51,23.3922,2966
greedy,1200,60,19.8167,3
random,1200,24,49.125,0
bad_greedy,1200,35,32.7429,1
k=1,1200,60,19.8167,47
k=2,1200,60,19.8167,2274
greedy,1200,57,20.8421,3
random,1200,26,46.1538,0
bad_greedy,1200,30,38.8333,1
k=1,1200,57,20.8421,55
k=2,1200,57,20.8421,2756
greedy,1200,59,19.4407,3
random,1200,30,39.2333,0
bad_greedy,1200,33,34.3636,1
k=1,1200,59,19.4407,48
k=2,1200,59,19.4407,2364
greedy,1200,50,23.4,3
random,1200,30,39.3333,0
bad_greedy,1200,33,34.8788,1
k=1,1200,52,22.9615,56
k=2,1200,52,22.9231,2923
greedy,1500,70,21.4,5
random,1500,36,41.6389,0
bad_greedy,1500,41,34.5854,2
k=1,1500,70,21.4,80
k=2,1500,70,21.4,3935
greedy,1500,63,22.9841,4
random,1500,27,55.1481,0
bad_greedy,1500,43,34.4419,2
k=1,1500,64,23.25,67
k=2,1500,64,23.25,4022
greedy,1500,63,23.6349,4
random,1500,33,44.2727,0
bad_greedy,1500,39,37.9231,2
k=1,1500,63,23.6032,70
k=2,1500,63,23.6032,2939
greedy,1500,58,25.6379,3
random,1500,34,43.8824,0
bad_greedy,1500,33,44.0909,2
k=1,1500,59,25.2034,69
k=2,1500,59,24.6102,3055
greedy,1500,66,22,3
random,1500,30,49.2667,0
bad_greedy,1500,35,42.5714,1
k=1,1500,66,22,46
k=2,1500,66,22,2365
greedy,1500,73,20.2055,3
random,1500,45,32.5111,0
bad_greedy,1500,39,36.7179,1
k=1,1500,73,20,47
k=2,1500,73,19.8219,2389
greedy,1500,68,21.6912,3
random,1500,42,35.2857,0
bad_greedy,1500,46,31.3478,1
k=1,1500,68,21.6912,47
k=2,1500,68,21.6912,2323
greedy,1500,62,23.5484,3
random,1500,17,86.1176,0
bad_greedy,1500,39,37.1795,1
k=1,1500,63,23.0476,54
k=2,1500,63,23.0476,2673
greedy,1500,63,23.746,3
random,1500,44,33.6818,0
bad_greedy,1500,30,48,1
k=1,1500,63,23.2063,49
k=2,1500,63,23.2063,2440
greedy,1500,65,23.0462,3
random,1500,24,62.3333,0
bad_greedy,1500,33,43.6061,1
k=1,1500,65,22.5077,50
k=2,1500,65,22.5077,3093
greedy,1400,60,22.8833,3
random,1400,35,39.4286,0
bad_greedy,1400,35,37.4571,1
